2013-01-01,10,16,19,23,24,36,47
2013-01-02,7,10,11,32,33,41,9
2013-01-04,5,6,19,28,34,39,16
2013-01-07,13,15,30,35,36,43,5
2013-01-08,4,11,22,25,46,47,6
2013-01-09,1,25,43,46,47,49,23
2013-01-11,13,23,24,32,38,42,28
2013-01-14,7,9,17,26,42,48,19
2013-01-15,1,2,4,22,31,43,25
2013-01-16,10,15,16,19,28,43,11
2013-01-18,6,12,21,35,38,48,34
2013-01-21,2,4,15,26,31,49,6
2013-01-22,1,2,16,23,27,48,46
2013-01-23,19,26,32,33,34,49,8
2013-01-25,12,15,26,37,38,40,49
2013-01-28,5,9,24,25,34,40,46
2013-01-29,14,23,32,39,41,49,9
2013-01-30,11,17,21,25,29,30,40
2013-02-01,2,3,20,22,28,41,29
2013-02-04,10,14,26,27,28,36,5
2013-02-05,6,7,13,15,25,46,43
2013-02-06,1,4,6,9,19,41,35
2013-02-08,1,12,22,24,37,42,43
2013-02-11,2,10,13,20,25,42,30
2013-02-12,1,17,30,31,39,46,15
2013-02-13,4,5,6,15,23,36,27
2013-02-15,9,13,15,45,47,49,41
2013-02-18,1,9,13,35,43,48,11
2013-02-19,5,8,33,34,39,49,11
2013-02-20,1,28,29,30,32,47,9
2013-02-22,10,19,22,32,35,48,28
2013-02-25,4,5,9,16,31,38,23
2013-02-26,4,5,19,29,34,43,7
2013-02-27,4,8,12,14,18,20,39
2013-03-01,3,6,8,14,33,42,9
2013-03-04,3,9,12,18,39,47,45
2013-03-05,6,16,20,24,35,38,40
2013-03-06,10,13,34,42,44,49,4
2013-03-08,4,8,12,14,45,48,47
2013-03-11,14,20,26,27,31,44,13
2013-03-12,2,23,24,27,31,34,48
2013-03-13,11,12,28,29,42,45,47
2013-03-15,14,20,33,41,45,48,2
2013-03-18,5,7,25,30,31,34,43
2013-03-19,10,15,23,28,42,47,40
2013-03-20,7,17,23,26,37,39,35
2013-03-22,22,23,27,30,38,46,5
2013-03-25,3,5,24,25,28,45,48
2013-03-26,1,18,25,27,36,40,12
2013-03-27,7,17,19,30,32,36,37
2013-03-29,13,19,25,26,39,43,14
2013-04-01,8,16,21,24,42,49,11
2013-04-02,12,14,20,27,30,38,45
2013-04-03,8,13,17,26,42,45,1
2013-04-05,16,20,30,31,36,38,5
2013-04-08,4,5,24,30,39,43,33
2013-04-09,9,11,16,26,42,48,2
2013-04-10,11,18,31,32,33,42,23
2013-04-12,9,20,21,28,30,44,24
2013-04-15,5,7,20,29,37,39,27
2013-04-16,1,4,11,23,30,38,21
2013-04-17,7,8,23,29,33,42,39
2013-04-19,10,12,15,27,40,43,8
2013-04-22,9,15,20,32,38,47,36
2013-04-23,2,18,31,33,38,47,22
2013-04-24,2,4,8,27,36,48,34
2013-04-26,3,13,19,26,40,44,5
2013-04-29,2,4,6,33,43,49,1
2013-04-30,4,11,16,29,38,46,18
2013-05-01,2,3,31,34,37,39,11
2013-05-03,5,10,17,21,32,36,39
2013-05-06,1,5,9,14,18,35,24
2013-05-07,2,14,18,28,38,39,24
2013-05-08,2,9,16,22,23,39,40
2013-05-10,11,14,18,28,35,45,40
2013-05-13,11,14,27,29,33,34,12
2013-05-14,1,3,4,18,36,45,6
2013-05-15,1,9,15,26,27,44,8
2013-05-17,8,25,28,35,37,48,9
2013-05-20,2,3,19,26,37,45,25
2013-05-21,14,26,27,30,31,49,10
2013-05-22,9,10,12,16,28,42,45
2013-05-24,18,19,20,27,28,40,30
2013-05-27,13,20,22,24,25,31,1
2013-05-28,11,21,24,28,43,44,38
2013-05-29,6,7,13,40,44,49,8
2013-05-31,9,15,17,20,29,31,28
2013-06-03,3,19,30,34,36,41,21
2013-06-04,9,11,24,30,39,42,22
2013-06-05,14,18,35,36,37,39,5
2013-06-07,4,5,17,25,43,46,21
2013-06-10,21,31,35,42,44,48,19
2013-06-11,11,15,24,26,32,42,6
2013-06-12,5,7,17,22,31,39,1
2013-06-14,7,11,13,23,47,49,33
2013-06-17,16,23,33,34,42,48,20
2013-06-18,3,22,34,35,41,45,27
2013-06-19,11,23,31,44,46,48,41
2013-06-21,2,6,13,18,22,26,25
2013-06-24,3,7,13,19,32,37,2
2013-06-25,10,16,19,37,47,49,20
2013-06-26,1,2,8,18,31,43,12
2013-06-28,18,20,24,26,29,36,15
2013-07-01,4,9,11,33,36,49,2
2013-07-02,2,9,22,24,33,44,19
2013-07-03,6,9,21,26,44,47,39
2013-07-05,27,30,36,38,48,49,37
2013-07-08,1,17,19,45,46,47,7
2013-07-09,16,18,33,34,39,42,4
2013-07-10,6,21,26,28,30,40,3
2013-07-12,21,22,27,30,31,40,18
